GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G0900090","2007-2011","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09009",,,"New Haven County, Connecticut",62497,116206,2905,7500,11548,13282,12163,10677,7655,9458,33479,7539,"New Haven County, Connecticut",791,1851,354,656,834,955,818,772,576,647,1190,631
"G0900110","2007-2011","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09011",,,"New London County, Connecticut",67010,32790,1212,2044,4625,4431,4166,3400,2218,2651,6162,1881,"New London County, Connecticut",1232,957,294,345,486,538,490,389,384,390,540,317
"G0900130","2007-2011","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09013",,,"Tolland County, Connecticut",80333,12857,443,976,1609,1581,1633,1297,916,744,3108,550,"Tolland County, Connecticut",1948,767,192,260,285,301,266,310,250,215,375,166
"G0900150","2007-2011","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09015",,,"Windham County, Connecticut",60063,12893,560,867,1723,1796,1594,1179,533,1103,2647,891,"Windham County, Connecticut",1800,630,183,254,345,291,315,268,172,265,312,230
"G1000010","2007-2011","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10001",,,"Kent County, Delaware",54783,15916,288,1191,1647,1927,1656,1578,1103,1509,3777,1240,"Kent County, Delaware",1469,879,119,303,277,301,267,293,281,313,473,261
"G1000030","2007-2011","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10003",,,"New Castle County, Delaware",64158,58986,1907,3783,7036,7050,6693,5476,3800,5134,15055,3052,"New Castle County, Delaware",754,1316,330,511,710,674,608,505,462,516,1006,376
"G1000050","2007-2011","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10005",,,"Sussex County, Delaware",53215,15127,427,1023,1380,1679,1685,1204,1085,1465,3143,2036,"Sussex County, Delaware",1270,738,148,195,273,290,285,204,263,249,427,275
"G1100010","2007-2011","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US11001",,,"District of Columbia, District of Columbia",61835,148755,6498,11860,17734,17940,17470,11969,9570,11767,35856,8091,"District of Columbia, District of Columbia",831,1895,590,840,1010,902,1066,804,643,810,1157,693
"G1200010","2007-2011","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12001",,,"Alachua County, Florida",41373,44413,1147,2222,3494,4649,3752,3489,2265,3902,15432,4061,"Alachua County, Florida",1004,1206,281,391,463,497,484,466,392,422,911,531
"G1200030","2007-2011","FL",,,"Florida","12","Baker County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12003",,,"Baker County, Florida",47041,1992,89,88,154,220,213,150,176,161,470,271,"Baker County, Florida",4203,356,69,72,97,112,151,98,123,153,196,123
"G1200050","2007-2011","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12005",,,"Bay County, Florida",48225,23597,555,1407,3132,3114,2774,2055,1747,1921,5114,1778,"Bay County, Florida",1726,1142,190,301,493,540,437,382,360,385,569,318
