GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,MP1E001,MUVE001,MUVE002,MUVE003,MUVE004,MUVE005,MUVE006,MUVE007,MUVE008,MUVE009,MUVE010,MUVE011,NAME_M,MP1M001,MUVM001,MUVM002,MUVM003,MUVM004,MUVM005,MUVM006,MUVM007,MUVM008,MUVM009,MUVM010,MUVM011
"G0100010","2007-2011","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",53899,4450,133,370,650,526,541,498,312,122,775,523,"Autauga County, Alabama",2410,386,93,134,185,174,144,186,137,70,186,144
"G0100030","2007-2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",51321,16818,438,1214,1719,1763,2213,1121,1332,2066,3029,1923,"Baldwin County, Alabama",1499,907,152,294,360,355,395,291,290,355,418,327
"G0100050","2007-2011","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",34041,3218,108,202,262,240,325,153,73,263,866,726,"Barbour County, Alabama",3009,307,71,109,101,107,117,77,52,94,185,171
"G0100070","2007-2011","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",40506,1227,15,55,263,160,122,125,30,122,164,171,"Bibb County, Alabama",3675,269,18,44,153,102,92,76,35,80,109,87
"G0100090","2007-2011","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",45404,4207,159,419,666,615,533,180,181,293,551,610,"Blount County, Alabama",1672,391,91,148,207,219,162,85,86,139,158,161
"G0100110","2007-2011","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",31955,766,15,95,70,36,32,48,21,100,214,135,"Bullock County, Alabama",5969,168,24,94,60,34,38,57,36,74,108,83
"G0100130","2007-2011","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",31273,2341,95,93,244,260,226,122,294,157,493,357,"Butler County, Alabama",2519,258,69,59,109,90,86,76,94,79,144,105
"G0100150","2007-2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",39467,13752,650,1192,1655,1324,1123,804,796,1271,3234,1703,"Calhoun County, Alabama",1089,683,154,251,334,251,242,217,225,256,471,262
"G0100170","2007-2011","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",32186,3885,86,290,192,425,401,374,155,330,960,672,"Chambers County, Alabama",1223,378,64,116,87,139,135,164,84,134,208,167
"G0100190","2007-2011","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",37833,2787,188,158,272,155,164,219,225,230,351,825,"Cherokee County, Alabama",5117,415,122,93,115,77,82,136,112,142,137,234
"G0100210","2007-2011","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",40418,4018,202,383,425,203,306,290,134,326,831,918,"Chilton County, Alabama",2465,419,110,158,148,127,137,131,70,126,250,214
"G0100230","2007-2011","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",32188,783,22,86,32,71,51,43,55,24,132,267,"Choctaw County, Alabama",4085,148,20,57,28,46,38,33,43,22,80,79
"G0100250","2007-2011","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",29668,2087,114,121,146,111,220,197,157,135,273,613,"Clarke County, Alabama",3004,330,56,91,91,56,137,114,94,88,110,172
"G0100270","2007-2011","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",35410,1375,81,125,141,222,94,75,15,82,162,378,"Clay County, Alabama",3346,225,53,79,69,92,47,52,17,52,82,123
"G0100290","2007-2011","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",38785,1188,81,144,107,109,19,98,95,57,204,274,"Cleburne County, Alabama",3850,177,71,87,70,69,16,74,67,57,86,113
"G0100310","2007-2011","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",42065,5531,184,504,554,756,467,398,382,394,1003,889,"Coffee County, Alabama",1835,418,77,128,144,174,132,114,119,136,226,148
"G0100330","2007-2011","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",40247,6091,417,734,699,450,444,404,326,493,1313,811,"Colbert County, Alabama",1714,378,133,192,194,134,136,147,122,148,212,168
"G0100350","2007-2011","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",27977,973,23,70,0,55,48,126,86,87,229,249,"Conecuh County, Alabama",5134,213,31,66,89,49,39,104,61,75,118,135
"G0100370","2007-2011","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",37191,717,5,116,57,47,15,0,81,57,105,234,"Coosa County, Alabama",2654,167,7,81,50,38,20,89,49,54,57,93
"G0100390","2007-2011","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",33544,3836,94,441,349,295,226,252,183,362,755,879,"Covington County, Alabama",2544,352,57,140,143,134,101,103,111,105,181,163
"G0100410","2007-2011","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",38041,1747,244,131,227,244,112,81,22,70,241,375,"Crenshaw County, Alabama",4751,202,124,68,96,100,56,46,25,39,96,109
"G0100430","2007-2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",38703,7746,212,661,731,752,707,555,489,449,1551,1639,"Cullman County, Alabama",2073,548,128,176,177,212,198,174,161,148,316,281
"G0100450","2007-2011","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",45491,7538,422,951,1005,707,1154,591,285,395,1028,1000,"Dale County, Alabama",1681,445,124,195,220,183,199,154,85,113,166,178
"G0100470","2007-2011","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",26909,6507,182,350,406,328,576,436,343,573,1744,1569,"Dallas County, Alabama",2492,464,89,139,168,129,183,148,136,172,272,282
"G0100490","2007-2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",36853,5774,317,406,851,631,695,375,224,395,824,1056,"DeKalb County, Alabama",2114,459,125,150,227,190,228,130,102,161,229,238
"G0100510","2007-2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",54831,6484,169,613,766,766,578,435,345,532,1142,1138,"Elmore County, Alabama",2510,525,70,215,233,192,174,138,173,199,265,251
"G0100530","2007-2011","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",31638,3878,101,352,291,297,275,147,208,438,926,843,"Escambia County, Alabama",1780,388,68,122,117,114,102,74,77,133,211,193
"G0100550","2007-2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",37772,10997,445,859,1283,1253,1068,854,615,708,2070,1842,"Etowah County, Alabama",1360,659,172,204,210,287,203,209,174,187,339,249
"G0100570","2007-2011","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",33378,1903,38,145,52,192,114,162,85,233,312,570,"Fayette County, Alabama",2974,228,30,83,38,92,83,78,63,104,130,154
"G0100590","2007-2011","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",35831,3849,311,255,531,403,329,345,130,203,735,607,"Franklin County, Alabama",2111,414,141,114,158,150,121,153,70,130,203,171
"G0100610","2007-2011","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",35237,3134,75,281,368,341,341,162,195,140,555,676,"Geneva County, Alabama",3392,383,50,131,149,134,151,107,112,81,180,161
"G0100630","2007-2011","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",23004,961,30,30,43,104,76,44,142,47,184,261,"Greene County, Alabama",5965,183,45,33,45,64,51,52,109,38,100,115
"G0100650","2007-2011","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",29236,1415,43,82,107,140,121,56,18,114,254,480,"Hale County, Alabama",2262,189,29,44,63,73,70,44,13,67,111,119
"G0100670","2007-2011","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",39948,1312,67,82,152,131,60,57,65,92,240,366,"Henry County, Alabama",2560,226,91,52,106,88,44,42,51,73,121,139
"G0100690","2007-2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",41766,12801,510,1269,1633,1415,1303,964,781,897,2699,1330,"Houston County, Alabama",939,312,91,168,158,159,154,134,136,130,181,149
"G0100710","2007-2011","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",36383,5152,143,473,491,474,351,441,266,378,839,1296,"Jackson County, Alabama",1960,481,74,176,152,171,103,180,93,156,239,226
"G0100730","2007-2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",45750,88242,1837,6226,9639,10305,8975,6421,5018,7840,24105,7876,"Jefferson County, Alabama",705,2096,339,619,778,798,727,606,398,705,1003,643
"G0100750","2007-2011","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",34711,1602,72,153,113,132,181,115,20,84,262,470,"Lamar County, Alabama",3270,202,54,93,63,77,90,69,24,47,101,120
"G0100770","2007-2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",39702,10985,576,976,965,1029,988,755,594,651,3031,1420,"Lauderdale County, Alabama",1735,649,141,223,255,231,250,205,189,170,434,278
"G0100790","2007-2011","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",40009,2878,153,219,323,335,212,175,231,203,363,664,"Lawrence County, Alabama",1984,336,76,129,107,132,112,72,115,100,140,156
"G0100810","2007-2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",42320,20331,389,1561,2061,2040,2044,1549,1128,1544,6111,1904,"Lee County, Alabama",1495,835,133,290,317,347,349,282,249,282,504,290
"G0100830","2007-2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",47199,7040,389,718,717,806,753,682,492,402,1183,898,"Limestone County, Alabama",1580,531,169,209,229,187,215,195,180,157,280,260
"G0100850","2007-2011","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",27905,1086,41,95,45,112,61,54,26,34,244,374,"Lowndes County, Alabama",3823,173,39,60,51,62,38,50,22,27,82,99
"G0100870","2007-2011","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",29355,2577,87,180,266,130,159,197,123,174,798,463,"Macon County, Alabama",3525,274,70,82,113,66,80,88,65,71,161,142
"G0100890","2007-2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",57453,38511,1911,3922,4900,4945,3099,3139,2163,2652,8145,3635,"Madison County, Alabama",1119,1090,320,498,518,455,357,417,306,320,627,386
"G0100910","2007-2011","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",35165,2221,64,134,75,212,184,176,179,152,291,754,"Marengo County, Alabama",3305,322,58,78,58,122,89,106,105,113,128,154
"G0100930","2007-2011","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",31799,3165,154,347,220,324,350,264,248,196,458,604,"Marion County, Alabama",1997,355,78,158,112,125,119,132,108,82,160,176
"G0100950","2007-2011","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",38563,9600,418,824,1015,986,1037,587,584,835,1923,1391,"Marshall County, Alabama",1197,511,131,187,185,267,239,186,196,232,289,304
"G0100970","2007-2011","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",42187,49913,1242,3454,4744,4489,4781,3622,3315,4287,13252,6727,"Mobile County, Alabama",902,1243,272,430,503,491,504,430,397,485,727,607
"G0100990","2007-2011","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",29849,2277,67,90,173,234,103,204,131,75,473,727,"Monroe County, Alabama",1852,274,80,80,92,117,44,93,81,52,164,202
"G0101010","2007-2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",44587,32532,1030,2420,3455,3203,3004,2835,2217,2886,9005,2477,"Montgomery County, Alabama",1027,1122,226,402,462,470,442,413,339,502,717,400
"G0101030","2007-2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",45564,12850,833,1332,1585,1852,1063,923,743,994,2069,1456,"Morgan County, Alabama",1519,637,255,322,312,321,223,192,203,199,351,256
"G0101050","2007-2011","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",27222,1342,17,117,30,67,71,28,138,63,302,509,"Perry County, Alabama",3300,184,17,76,25,59,63,21,97,48,107,145
"G0101070","2007-2011","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",29096,2177,71,158,108,219,188,225,100,135,377,596,"Pickens County, Alabama",2231,234,57,61,59,84,78,91,60,75,134,124
"G0101090","2007-2011","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",31179,5650,116,366,566,369,518,338,368,298,1644,1067,"Pike County, Alabama",1756,424,56,106,174,130,180,126,167,109,304,242
"G0101110","2007-2011","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",35823,2319,110,155,187,221,298,195,156,82,423,492,"Randolph County, Alabama",3569,341,82,102,110,118,170,103,106,50,146,150
"G0101130","2007-2011","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",33754,7534,287,639,501,770,741,879,469,693,1517,1038,"Russell County, Alabama",1750,461,122,190,168,211,180,241,140,227,211,184
"G0101150","2007-2011","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",49200,5719,429,485,687,762,409,324,432,336,1103,752,"St. Clair County, Alabama",2381,569,204,175,222,257,132,169,177,122,257,224
"G0101170","2007-2011","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",68883,14711,343,1264,2164,2286,1392,1083,973,1343,2249,1614,"Shelby County, Alabama",2027,676,143,306,386,350,255,262,247,326,341,260
"G0101190","2007-2011","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",21964,1633,0,77,104,51,64,79,112,114,533,499,"Sumter County, Alabama",4364,257,89,81,67,52,58,54,78,77,172,150
"G0101210","2007-2011","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",36609,9245,319,529,973,923,852,794,514,718,1789,1834,"Talladega County, Alabama",1587,687,164,137,286,233,183,194,161,222,337,321
"G0101230","2007-2011","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",39423,4354,314,327,394,457,294,334,228,263,852,891,"Tallapoosa County, Alabama",1875,408,138,131,144,135,125,139,94,89,223,206
"G0101250","2007-2011","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",43538,24903,672,1792,2276,2174,2433,1634,1138,1857,7973,2954,"Tuscaloosa County, Alabama",1142,833,212,304,363,377,357,266,239,334,579,419
"G0101270","2007-2011","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",37161,5902,226,400,780,449,400,429,272,513,904,1529,"Walker County, Alabama",1525,436,102,137,194,175,132,153,117,186,199,250
"G0101290","2007-2011","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",40286,976,54,121,22,51,77,31,42,42,134,402,"Washington County, Alabama",5519,225,52,71,22,45,70,30,48,63,82,131
"G0101310","2007-2011","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",23750,795,14,25,34,4,61,140,5,83,143,286,"Wilcox County, Alabama",2218,138,19,31,27,7,42,91,9,53,83,106
"G0101330","2007-2011","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",32557,2394,139,91,332,113,181,173,77,204,478,606,"Winston County, Alabama",3112,288,90,53,131,70,103,110,48,123,179,161
"G0200130","2007-2011","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",57083,163,17,9,29,21,18,9,10,4,12,34,"Aleutians East Borough, Alaska",6368,110,16,9,23,17,14,10,12,5,11,29
"G0200160","2007-2011","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",75179,774,63,88,65,80,77,39,25,7,54,276,"Aleutians West Census Area, Alaska",5608,224,33,35,31,36,34,22,43,9,29,105
"G0200200","2007-2011","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",75485,40594,1172,3616,5872,5589,4731,4252,2723,3127,7243,2269,"Anchorage Municipality, Alaska",1150,1125,288,342,559,559,545,483,405,436,639,334
"G0200500","2007-2011","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",52063,1527,146,252,151,197,75,40,59,27,141,439,"Bethel Census Area, Alaska",3199,154,51,68,60,76,45,33,45,19,69,85
"G0200600","2007-2011","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",80000,191,24,3,22,40,22,18,8,5,7,42,"Bristol Bay Borough, Alaska",18349,36,16,6,14,19,15,10,8,6,6,20
"G0200680","2007-2011","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",82898,230,82,43,15,18,0,15,0,4,12,41,"Denali Borough, Alaska",19141,66,42,27,22,32,78,23,78,7,18,29
"G0200700","2007-2011","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",57681,591,57,46,83,63,53,27,14,38,35,175,"Dillingham Census Area, Alaska",3857,70,26,21,30,28,32,16,11,23,22,42
"G0200900","2007-2011","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",68922,14504,628,1010,1913,1708,1445,1240,1098,975,2898,1589,"Fairbanks North Star Borough, Alaska",2076,622,246,199,321,317,247,268,235,205,406,288
"G0201000","2007-2011","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",51667,372,43,47,42,5,28,5,18,46,75,63,"Haines Borough, Alaska",8055,110,39,53,41,6,46,8,27,44,63,47
"G0201050","2007-2011","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",49545,362,21,47,39,34,26,13,8,28,32,114,"Hoonah-Angoon Census Area, Alaska",5494,70,20,22,26,20,20,13,8,27,21,46
"G0201100","2007-2011","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",77465,4397,73,381,650,872,514,381,402,232,670,222,"Juneau City and Borough, Alaska",4021,324,53,138,145,184,147,123,147,96,176,115
"G0201220","2007-2011","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",59256,5931,354,573,690,622,524,384,411,456,1133,784,"Kenai Peninsula Borough, Alaska",2629,417,116,104,172,157,119,109,127,123,211,165
"G0201300","2007-2011","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",57243,2337,76,156,259,205,423,236,78,209,527,168,"Ketchikan Gateway Borough, Alaska",5285,259,52,81,108,92,157,125,56,81,182,87
"G0201500","2007-2011","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",66326,2058,76,183,124,364,172,129,122,19,376,493,"Kodiak Island Borough, Alaska",5525,242,73,113,74,134,98,71,81,20,132,141
"G0201640","2007-2011","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",51429,213,22,37,41,15,0,4,0,17,6,71,"Lake and Peninsula Borough, Alaska",6658,48,13,22,22,11,78,5,78,14,7,25
"G0201700","2007-2011","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",70343,6532,195,808,626,647,716,518,390,612,1310,710,"Matanuska-Susitna Borough, Alaska",1779,377,90,208,151,161,176,149,128,140,202,149
"G0201800","2007-2011","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",52435,1297,43,178,169,162,148,97,17,40,112,331,"Nome Census Area, Alaska",4834,141,18,57,58,70,73,43,11,17,46,79
"G0201850","2007-2011","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",76667,1092,128,224,165,78,88,0,27,15,65,302,"North Slope Borough, Alaska",8480,170,51,91,63,66,43,78,29,17,44,95
"G0201880","2007-2011","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",59893,819,98,71,121,72,60,5,39,29,71,253,"Northwest Arctic Borough, Alaska",4471,69,34,27,34,24,26,5,18,18,32,46
"G0201950","2007-2011","AK",,,"Alaska","02","Petersburg Census Area","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Census Area, Alaska",64216,370,48,43,18,66,49,40,16,1,23,66,"Petersburg Census Area, Alaska",10768,109,42,35,20,45,45,36,17,2,22,38
"G0201980","2007-2011","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",45513,752,94,78,109,121,65,47,20,47,18,153,"Prince of Wales-Hyder Census Area, Alaska",3083,92,41,30,40,41,41,29,12,25,14,46
"G0202200","2007-2011","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",69798,1685,85,135,171,182,23,175,133,87,414,280,"Sitka City and Borough, Alaska",7590,252,80,83,93,83,21,87,102,70,150,120
"G0202300","2007-2011","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230",,,"Skagway Municipality, Alaska",73000,166,44,22,22,23,5,26,8,0,13,3,"Skagway Municipality, Alaska",6545,83,28,17,21,42,27,18,11,78,11,5
