GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",58731,5715,218,395,498,850,557,432,112,400,1443,810,"Autauga County, Alabama",4410,482,121,165,170,258,249,182,59,180,272,299
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",58320,20034,717,1491,2484,2391,2115,1657,1115,1573,3792,2699,"Baldwin County, Alabama",1564,966,268,382,426,361,411,361,293,399,589,492
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",32525,3654,170,280,350,426,286,250,139,323,755,675,"Barbour County, Alabama",2291,283,75,98,121,123,98,104,73,118,149,154
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",47542,1763,112,246,94,108,163,113,77,114,379,357,"Bibb County, Alabama",5504,291,66,129,85,71,93,72,67,102,187,134
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",49358,4424,214,356,342,582,352,329,231,228,683,1107,"Blount County, Alabama",2136,421,125,131,118,207,144,125,101,110,207,267
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",37785,1017,17,7,139,97,103,63,29,34,292,236,"Bullock County, Alabama",12122,268,22,13,115,80,99,61,36,40,181,118
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",40688,1955,179,205,192,115,127,177,66,129,299,466,"Butler County, Alabama",2858,205,93,76,64,54,55,76,40,69,105,126
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",47255,13351,913,1298,1813,1242,1131,935,795,942,2660,1622,"Calhoun County, Alabama",2090,615,236,291,329,294,238,194,228,229,356,244
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",42289,4376,340,701,676,261,357,203,309,220,652,657,"Chambers County, Alabama",2979,351,118,225,218,131,154,98,107,108,148,162
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",41919,2433,234,271,222,186,131,119,150,197,245,678,"Cherokee County, Alabama",2465,327,120,115,109,102,84,78,108,99,105,229
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",47468,4317,193,410,378,344,587,434,204,198,699,870,"Chilton County, Alabama",2972,473,145,176,157,192,245,186,109,131,223,234
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",35892,1012,42,87,76,20,50,38,130,87,123,359,"Choctaw County, Alabama",2854,176,31,57,54,17,32,26,94,51,69,112
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",37404,2718,172,257,179,127,189,152,93,135,278,1136,"Clarke County, Alabama",3257,316,134,126,110,99,93,120,74,75,114,215
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",40845,1276,42,139,154,218,147,86,35,69,128,258,"Clay County, Alabama",6518,214,33,79,85,120,72,53,31,56,66,93
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",44741,1356,44,84,292,144,104,73,95,81,120,319,"Cleburne County, Alabama",3847,192,36,55,102,72,67,51,54,73,58,114
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",55637,6825,272,611,1052,1112,623,429,430,381,1188,727,"Coffee County, Alabama",1849,438,92,150,209,227,216,137,134,134,255,134
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",48065,6084,222,549,524,669,525,396,422,572,1078,1127,"Colbert County, Alabama",2746,485,87,150,174,172,148,137,128,180,248,230
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",37837,1088,36,45,60,193,226,16,18,112,100,282,"Conecuh County, Alabama",3835,253,29,53,63,164,122,17,21,125,82,99
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",38990,837,94,55,93,47,16,93,32,31,77,299,"Coosa County, Alabama",4339,158,60,39,75,38,22,76,32,35,58,108
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",42189,3791,189,391,448,226,350,322,143,202,781,739,"Covington County, Alabama",2667,368,86,145,122,80,95,110,66,107,165,144
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",43163,1212,155,139,130,88,64,65,53,66,127,325,"Crenshaw County, Alabama",2743,155,57,50,50,42,43,50,51,37,62,78
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",44918,7818,183,786,1111,741,873,586,438,565,1105,1430,"Cullman County, Alabama",1921,602,86,236,257,215,194,190,149,171,210,292
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",47214,7506,389,906,884,1211,699,643,273,528,1260,713,"Dale County, Alabama",2845,438,123,186,222,228,161,165,108,145,228,173
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",33845,6469,153,509,531,580,589,456,485,449,1614,1103,"Dallas County, Alabama",1728,480,81,207,198,170,186,157,191,148,280,234
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",40440,7413,345,736,842,659,589,569,274,370,1162,1867,"DeKalb County, Alabama",1676,612,135,225,203,194,134,164,110,153,233,267
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",60891,7945,360,683,868,583,690,940,639,447,1609,1126,"Elmore County, Alabama",2952,628,165,226,241,207,230,276,224,175,348,251
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",36275,4146,220,339,472,236,424,280,288,327,542,1018,"Escambia County, Alabama",2972,386,106,107,158,102,160,133,112,111,166,233
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",44637,10675,692,899,1323,1051,1178,529,645,1067,1833,1458,"Etowah County, Alabama",1878,626,189,208,267,270,201,176,214,185,290,239
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",39856,1547,61,189,113,91,116,242,81,101,291,262,"Fayette County, Alabama",3370,228,42,106,73,54,67,111,48,64,116,95
"G0100590","2015-2019","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",43514,3227,232,450,539,376,120,107,185,244,283,691,"Franklin County, Alabama",2096,334,105,162,181,134,65,65,87,140,129,174
"G0100610","2015-2019","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",41732,2907,131,237,308,337,297,152,80,56,578,731,"Geneva County, Alabama",2831,300,74,93,127,117,143,105,41,42,156,168
"G0100630","2015-2019","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",24145,972,20,12,48,27,84,8,130,46,207,390,"Greene County, Alabama",6721,222,31,19,49,37,75,11,91,49,116,141
"G0100650","2015-2019","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",34046,1365,13,67,68,43,110,50,35,160,243,576,"Hale County, Alabama",5341,219,17,45,38,41,57,29,35,77,98,162
"G0100670","2015-2019","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",50017,1105,67,114,131,97,73,51,36,93,228,215,"Henry County, Alabama",3746,172,44,74,74,50,56,42,29,49,88,67
"G0100690","2015-2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",47580,13482,650,1447,1663,1548,1222,884,817,975,2891,1385,"Houston County, Alabama",1033,393,92,134,165,140,137,99,100,142,187,151
"G0100710","2015-2019","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",41769,5066,149,622,342,353,655,481,229,351,477,1407,"Jackson County, Alabama",1158,401,76,169,135,98,203,163,109,122,130,287
"G0100730","2015-2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",53901,97432,3662,8218,11223,11108,10161,7667,5410,8285,22731,8967,"Jefferson County, Alabama",642,1682,575,663,871,784,781,760,643,710,1094,622
"G0100750","2015-2019","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",38364,1427,97,122,94,70,90,84,173,133,192,372,"Lamar County, Alabama",4154,253,72,60,55,51,55,47,97,82,69,131
"G0100770","2015-2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",48094,12257,646,1274,1383,1314,1543,825,567,861,2102,1742,"Lauderdale County, Alabama",1834,613,239,255,300,293,287,191,177,199,282,342
"G0100790","2015-2019","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",44886,2832,189,287,270,208,353,181,110,132,314,788,"Lawrence County, Alabama",2943,298,93,121,122,84,124,86,82,81,124,168
"G0100810","2015-2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",51463,23126,749,2024,2430,2408,2274,1223,1245,1984,6105,2684,"Lee County, Alabama",2221,1045,215,373,466,453,413,274,306,405,691,478
"G0100830","2015-2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",59686,7192,448,1023,837,761,684,522,370,487,1239,821,"Limestone County, Alabama",2190,568,165,248,191,207,219,176,127,167,247,202
"G0100850","2015-2019","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",30036,1094,37,36,14,59,23,14,99,134,212,466,"Lowndes County, Alabama",4948,175,30,37,23,45,24,16,67,73,88,149
"G0100870","2015-2019","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",33370,2580,153,141,184,132,276,164,109,132,554,735,"Macon County, Alabama",3502,254,75,64,84,65,90,74,56,67,141,168
"G0100890","2015-2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",65449,49143,2577,5260,5875,5768,5178,4052,3317,3587,9422,4107,"Madison County, Alabama",1211,1370,408,596,767,543,641,491,428,493,721,552
"G0100910","2015-2019","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",33241,2099,118,133,117,68,95,133,63,179,368,825,"Marengo County, Alabama",4158,286,80,87,83,51,69,89,66,128,162,242
"G0100930","2015-2019","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",35930,2982,127,351,367,277,364,291,159,212,404,430,"Marion County, Alabama",3370,352,77,138,147,119,147,114,103,114,176,145
"G0100950","2015-2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",45983,10403,598,860,1354,823,1312,653,668,687,1741,1707,"Marshall County, Alabama",1454,559,178,177,262,182,251,169,184,177,260,261
"G0100970","2015-2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",47583,55398,1849,4354,5737,5109,5570,4200,3355,4401,13318,7505,"Mobile County, Alabama",1060,1345,378,400,618,506,509,498,459,421,850,596
"G0100990","2015-2019","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",30441,2969,90,102,173,85,143,124,40,178,331,1703,"Monroe County, Alabama",3305,320,68,66,106,71,98,88,40,161,115,298
"G0101010","2015-2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",50124,37262,1176,2719,4511,4144,4287,2554,2034,2837,10008,2992,"Montgomery County, Alabama",985,923,238,434,517,531,622,407,338,545,697,416
"G0101030","2015-2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",52156,12526,466,1366,1587,1416,1507,865,786,812,2303,1418,"Morgan County, Alabama",1613,708,158,338,317,298,318,228,210,264,370,304
"G0101050","2015-2019","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",23447,864,26,18,25,71,49,69,97,26,104,379,"Perry County, Alabama",2593,261,36,33,26,70,82,79,99,29,69,186
"G0101070","2015-2019","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",39848,1890,47,194,115,134,145,183,159,80,290,543,"Pickens County, Alabama",3352,248,36,83,62,51,65,92,99,47,90,159
"G0101090","2015-2019","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",37446,4376,166,230,296,260,417,355,163,368,1258,863,"Pike County, Alabama",2508,464,117,102,125,109,199,185,86,141,310,254
"G0101110","2015-2019","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",43395,2032,86,111,288,127,227,36,22,39,448,648,"Randolph County, Alabama",3406,312,68,71,122,66,106,25,22,34,144,177
"G0101130","2015-2019","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",42443,9263,359,473,1050,983,1086,967,351,710,2277,1007,"Russell County, Alabama",2725,658,156,171,282,229,321,291,165,200,387,270
"G0101150","2015-2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",58308,6441,428,608,851,725,804,426,167,555,864,1013,"St. Clair County, Alabama",3222,557,174,189,259,210,261,170,88,236,230,251
"G0101170","2015-2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",77799,15507,546,1771,2295,2017,1726,1281,773,1017,2730,1351,"Shelby County, Alabama",2248,737,192,316,388,338,306,254,206,258,407,260
"G0101190","2015-2019","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",24320,1869,46,47,110,68,53,252,152,134,407,600,"Sumter County, Alabama",1881,272,50,51,51,52,50,139,140,114,179,210
"G0101210","2015-2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",41325,9013,366,851,838,980,1032,696,573,673,1679,1325,"Talladega County, Alabama",2101,650,137,222,224,247,236,189,172,217,293,245
"G0101230","2015-2019","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",45828,4074,196,317,410,236,425,274,237,375,749,855,"Tallapoosa County, Alabama",3476,412,105,133,141,113,145,111,131,174,239,171
"G0101250","2015-2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",53326,26270,1145,2595,2810,2493,2514,1878,1248,2294,6909,2384,"Tuscaloosa County, Alabama",1173,969,268,387,445,339,400,333,251,390,694,349
"G0101270","2015-2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",43629,5692,274,636,626,505,244,360,296,305,1200,1246,"Walker County, Alabama",1841,449,128,190,192,183,96,99,118,123,222,213
"G0101290","2015-2019","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",41370,1039,74,43,154,88,95,43,2,57,98,385,"Washington County, Alabama",3437,224,84,39,131,59,75,41,4,53,80,129
"G0101310","2015-2019","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",31014,1237,36,84,44,64,51,84,57,11,102,704,"Wilcox County, Alabama",3634,163,24,79,37,57,35,62,36,12,54,128
"G0101330","2015-2019","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",35788,1975,78,185,174,203,269,89,68,84,206,619,"Winston County, Alabama",3659,241,48,75,75,93,81,65,51,57,94,172
"G0200130","2015-2019","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",69250,322,18,41,38,11,14,6,12,9,39,134,"Aleutians East Borough, Alaska",5289,58,10,15,15,8,8,7,8,7,15,34
"G0200160","2015-2019","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",87466,852,55,91,80,59,33,25,17,25,32,435,"Aleutians West Census Area, Alaska",3206,115,15,24,26,17,12,13,7,11,10,56
"G0200200","2015-2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",84928,41200,1684,3225,5664,5826,5197,3941,2478,3362,8264,1559,"Anchorage Municipality, Alaska",1508,1213,361,388,689,618,521,500,403,446,734,313
"G0200500","2015-2019","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",53553,1878,133,198,285,159,113,106,84,97,196,507,"Bethel Census Area, Alaska",3178,129,39,70,88,62,52,50,47,56,70,92
"G0200600","2015-2019","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",79808,145,9,26,24,18,10,6,2,8,6,36,"Bristol Bay Borough, Alaska",8316,26,7,12,12,10,6,6,3,6,5,12
"G0200680","2015-2019","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",81719,113,21,23,6,9,20,5,2,0,6,21,"Denali Borough, Alaska",13581,47,15,17,9,9,18,10,4,9,8,14
"G0200700","2015-2019","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",56898,542,22,50,77,58,47,31,22,31,39,165,"Dillingham Census Area, Alaska",5323,69,11,16,23,26,21,17,13,17,16,32
"G0200900","2015-2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",76992,14866,562,1246,2321,1863,1617,1183,1090,1303,2735,946,"Fairbanks North Star Borough, Alaska",3115,795,189,291,432,378,311,290,251,336,364,291
"G0201000","2015-2019","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",58059,338,55,42,5,57,45,14,2,26,23,69,"Haines Borough, Alaska",11237,99,48,42,5,52,44,11,3,31,22,53
"G0201050","2015-2019","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",59803,194,19,14,27,21,5,13,4,13,12,66,"Hoonah-Angoon Census Area, Alaska",4266,33,10,9,12,10,5,14,4,8,10,21
"G0201100","2015-2019","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",88390,4464,201,437,599,824,522,307,315,333,768,158,"Juneau City and Borough, Alaska",4059,331,94,153,146,176,156,127,135,111,187,76
"G0201220","2015-2019","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",66064,5880,330,641,712,637,492,443,373,406,1091,755,"Kenai Peninsula Borough, Alaska",2441,405,115,158,153,148,139,125,100,99,199,161
"G0201300","2015-2019","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",72728,2075,75,184,182,284,205,154,165,220,468,138,"Ketchikan Gateway Borough, Alaska",3182,125,30,47,49,62,58,48,53,58,81,43
"G0201500","2015-2019","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",85839,1935,128,116,198,365,199,91,76,172,278,312,"Kodiak Island Borough, Alaska",10160,226,103,54,101,125,93,56,54,103,102,84
"G0201580","2015-2019","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158",,,"Kusilvak Census Area, Alaska",36754,488,41,45,19,34,14,11,13,10,24,277,"Kusilvak Census Area, Alaska",4042,81,63,43,11,13,8,8,9,7,11,36
"G0201640","2015-2019","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",44135,120,20,17,14,6,3,8,1,0,4,47,"Lake and Peninsula Borough, Alaska",3686,41,8,10,8,5,5,5,3,9,6,21
"G0201700","2015-2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",75493,7158,309,560,806,665,707,632,492,590,1604,793,"Matanuska-Susitna Borough, Alaska",1614,285,67,97,124,99,125,103,100,103,174,114
"G0201800","2015-2019","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",61048,1124,75,63,173,133,80,93,77,43,119,268,"Nome Census Area, Alaska",2210,77,21,24,41,39,25,26,27,17,39,39
"G0201850","2015-2019","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",79306,937,152,173,131,52,34,28,23,16,117,211,"North Slope Borough, Alaska",10108,120,76,62,47,33,22,19,19,12,45,65
"G0201880","2015-2019","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",60906,786,87,84,86,87,90,30,28,53,51,190,"Northwest Arctic Borough, Alaska",5036,60,27,32,28,29,37,20,18,24,21,32
"G0201950","2015-2019","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Borough, Alaska",69948,370,46,59,24,31,26,25,38,17,80,24,"Petersburg Borough, Alaska",7258,78,27,36,10,12,15,12,27,8,35,12
"G0201980","2015-2019","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",52379,646,56,75,107,51,34,57,39,42,84,101,"Prince of Wales-Hyder Census Area, Alaska",3924,78,18,27,37,16,15,21,17,23,31,25
"G0202200","2015-2019","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",73682,1445,34,89,193,191,154,142,106,91,289,156,"Sitka City and Borough, Alaska",3705,125,23,39,63,62,50,59,41,39,73,54
