GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G1901530","2015-2019","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153",,,"Polk County, Iowa",67637,61790,2711,5923,8968,8974,6766,4957,3826,4507,12465,2693,"Polk County, Iowa",1228,1308,379,614,718,659,571,629,537,549,871,433
"G1901550","2015-2019","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155",,,"Pottawattamie County, Iowa",60065,11616,460,1380,1576,1235,1355,889,820,930,2104,867,"Pottawattamie County, Iowa",1577,552,131,194,264,192,212,152,205,183,273,166
"G1901570","2015-2019","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157",,,"Poweshiek County, Iowa",53852,2440,124,348,279,431,197,131,136,120,482,192,"Poweshiek County, Iowa",3077,250,51,94,97,119,79,69,87,83,150,85
"G1901590","2015-2019","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159",,,"Ringgold County, Iowa",55271,449,14,41,49,38,69,41,38,24,43,92,"Ringgold County, Iowa",4926,89,15,24,31,26,31,26,28,15,19,32
"G1901610","2015-2019","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161",,,"Sac County, Iowa",58232,889,62,97,197,68,52,69,49,54,86,155,"Sac County, Iowa",2084,111,27,35,74,33,23,33,24,27,46,63
"G1901630","2015-2019","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163",,,"Scott County, Iowa",61183,20762,820,1950,2721,2536,2042,1494,1350,1941,4606,1302,"Scott County, Iowa",1706,758,179,264,386,387,295,263,255,299,473,273
"G1901650","2015-2019","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165",,,"Shelby County, Iowa",58000,1134,59,121,165,65,202,171,87,44,75,145,"Shelby County, Iowa",6105,142,32,89,60,39,77,92,48,30,43,56
"G1901670","2015-2019","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167",,,"Sioux County, Iowa",69844,2408,150,527,204,221,108,228,134,148,392,296,"Sioux County, Iowa",2454,272,74,173,69,100,56,122,94,79,145,115
"G1901690","2015-2019","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169",,,"Story County, Iowa",56756,17576,519,1447,2110,1947,1421,1129,763,1459,5596,1185,"Story County, Iowa",2379,650,187,299,346,308,318,246,185,308,571,349
"G1901710","2015-2019","IA",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19171",,,"Tama County, Iowa",56037,1638,85,159,181,181,130,84,36,94,205,483,"Tama County, Iowa",2604,162,41,57,59,67,62,46,17,42,68,83
