GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AF49E001,AF9FE001,AF9FE002,AF9FE003,AF9FE004,AF9FE005,AF9FE006,AF9FE007,AF9FE008,AF9FE009,AF9FE010,AF9FE011,NAME_M,AF49M001,AF9FM001,AF9FM002,AF9FM003,AF9FM004,AF9FM005,AF9FM006,AF9FM007,AF9FM008,AF9FM009,AF9FM010,AF9FM011
"G3500410","2012-2016","NM",,,"New Mexico","35","Roosevelt County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35041",,,"Roosevelt County, New Mexico",34933,2794,56,102,247,173,374,225,136,383,687,411,"Roosevelt County, New Mexico",3172,273,39,91,137,103,131,114,83,163,180,119
"G3500430","2012-2016","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35043",,,"Sandoval County, New Mexico",60158,8880,322,594,923,1033,894,764,472,882,2001,995,"Sandoval County, New Mexico",1691,594,112,186,240,241,227,193,173,223,307,219
"G3500450","2012-2016","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35045",,,"San Juan County, New Mexico",48624,11202,833,1067,1364,1016,912,841,717,746,2029,1677,"San Juan County, New Mexico",1357,540,224,205,246,186,184,214,208,190,317,279
"G3500470","2012-2016","NM",,,"New Mexico","35","San Miguel County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35047",,,"San Miguel County, New Mexico",27000,3119,48,223,191,232,189,92,160,259,863,862,"San Miguel County, New Mexico",2865,412,36,115,80,131,96,51,87,124,193,257
"G3500490","2012-2016","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35049",,,"Santa Fe County, New Mexico",55370,18545,855,1339,2428,2126,2003,1482,1066,1668,3919,1659,"Santa Fe County, New Mexico",1268,625,157,215,295,298,309,241,238,229,359,245
"G3500510","2012-2016","NM",,,"New Mexico","35","Sierra County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35051",,,"Sierra County, New Mexico",29679,1462,43,146,95,108,227,97,70,158,293,225,"Sierra County, New Mexico",3208,210,47,96,53,75,95,63,47,87,110,92
"G3500530","2012-2016","NM",,,"New Mexico","35","Socorro County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35053",,,"Socorro County, New Mexico",34542,1358,42,133,132,76,220,107,70,77,250,251,"Socorro County, New Mexico",2943,171,32,71,71,49,81,60,51,40,95,101
"G3500550","2012-2016","NM",,,"New Mexico","35","Taos County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35055",,,"Taos County, New Mexico",35323,3498,118,233,256,385,253,209,176,275,1028,565,"Taos County, New Mexico",3393,342,73,97,111,138,63,99,110,106,237,161
"G3500570","2012-2016","NM",,,"New Mexico","35","Torrance County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35057",,,"Torrance County, New Mexico",32067,999,53,23,49,36,123,52,32,43,338,250,"Torrance County, New Mexico",4020,189,31,29,37,40,68,33,27,38,112,107
"G3500590","2012-2016","NM",,,"New Mexico","35","Union County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35059",,,"Union County, New Mexico",36420,596,62,53,105,48,39,35,8,30,89,127,"Union County, New Mexico",1836,106,43,37,56,34,33,22,13,22,54,51
"G3500610","2012-2016","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35061",,,"Valencia County, New Mexico",41788,5613,155,409,448,265,721,517,419,569,1327,783,"Valencia County, New Mexico",1860,522,83,141,160,118,227,180,143,193,297,228
"G3600010","2012-2016","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36001",,,"Albany County, New York",60904,52829,2229,4983,6444,6683,6078,4491,2665,4161,13017,2078,"Albany County, New York",963,1182,336,512,528,578,561,418,334,460,756,295
"G3600030","2012-2016","NY",,,"New York","36","Allegany County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36003",,,"Allegany County, New York",44085,4698,259,391,491,452,350,420,323,394,1077,541,"Allegany County, New York",1080,269,80,92,110,119,92,79,101,85,164,114
"G3600050","2012-2016","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36005",,,"Bronx County, New York",35302,397171,11670,23931,34870,37661,41578,37653,23981,35611,132102,18114,"Bronx County, New York",422,1900,765,1265,1334,1480,1374,1405,1019,1403,2178,838
"G3600070","2012-2016","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36007",,,"Broome County, New York",47744,27263,1169,2541,2820,2553,2657,1905,1723,2264,7689,1942,"Broome County, New York",1080,914,184,335,344,318,316,243,262,307,559,282
"G3600090","2012-2016","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36009",,,"Cattaraugus County, New York",43884,8896,401,873,890,1052,1050,548,585,730,1932,835,"Cattaraugus County, New York",1373,414,91,155,169,167,179,108,130,135,274,126
"G3600110","2012-2016","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36011",,,"Cayuga County, New York",53114,9046,632,900,1254,1012,789,539,520,857,1698,845,"Cayuga County, New York",1178,442,178,214,250,215,194,126,154,237,243,200
"G3600130","2012-2016","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36013",,,"Chautauqua County, New York",43211,15830,636,1282,1941,1697,1284,1119,787,1241,4544,1299,"Chautauqua County, New York",1023,554,163,229,264,259,181,214,172,213,421,214
"G3600150","2012-2016","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36015",,,"Chemung County, New York",49578,11072,310,1005,836,1253,1121,1083,707,923,2980,854,"Chemung County, New York",1657,494,95,210,199,216,261,249,171,203,334,205
"G3600170","2012-2016","NY",,,"New York","36","Chenango County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36017",,,"Chenango County, New York",46979,4869,181,569,544,464,460,384,196,333,1105,633,"Chenango County, New York",1521,269,63,122,118,104,107,94,60,95,206,126
"G3600190","2012-2016","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36019",,,"Clinton County, New York",50502,10050,402,920,1003,1022,962,814,713,610,2634,970,"Clinton County, New York",1858,466,130,232,225,247,213,216,223,178,371,214
"G3600210","2012-2016","NY",,,"New York","36","Columbia County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36021",,,"Columbia County, New York",59916,6964,313,601,777,800,721,518,437,577,1391,829,"Columbia County, New York",2708,465,99,194,167,181,121,136,135,139,223,174
"G3600230","2012-2016","NY",,,"New York","36","Cortland County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36023",,,"Cortland County, New York",50910,6172,286,618,761,924,659,486,253,345,1386,454,"Cortland County, New York",1761,364,100,148,209,165,168,111,90,104,217,147
"G3600250","2012-2016","NY",,,"New York","36","Delaware County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36025",,,"Delaware County, New York",46055,5030,233,381,434,341,557,460,404,349,1383,488,"Delaware County, New York",2281,412,101,119,110,96,132,124,181,119,219,105
"G3600270","2012-2016","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36027",,,"Dutchess County, New York",72706,33444,1159,1919,3897,3593,3701,2408,2474,2611,9422,2260,"Dutchess County, New York",1431,913,208,301,394,410,437,358,378,334,665,340
