GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AF49E001,AF9FE001,AF9FE002,AF9FE003,AF9FE004,AF9FE005,AF9FE006,AF9FE007,AF9FE008,AF9FE009,AF9FE010,AF9FE011,NAME_M,AF49M001,AF9FM001,AF9FM002,AF9FM003,AF9FM004,AF9FM005,AF9FM006,AF9FM007,AF9FM008,AF9FM009,AF9FM010,AF9FM011
"G0100010","2012-2016","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",53099,5582,121,366,701,522,494,474,360,495,1447,602,"Autauga County, Alabama",2631,576,75,168,208,187,202,238,168,222,355,175
"G0100030","2012-2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",51365,21244,862,1473,2542,2137,2252,1749,1491,1476,4422,2840,"Baldwin County, Alabama",991,874,282,353,373,408,386,326,314,306,504,449
"G0100050","2012-2016","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",33956,3293,160,146,321,367,286,259,106,179,843,626,"Barbour County, Alabama",2655,244,71,66,89,88,97,113,72,70,156,149
"G0100070","2012-2016","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",39776,1929,148,229,170,144,166,198,109,97,267,401,"Bibb County, Alabama",3306,296,108,126,107,98,88,141,76,83,124,145
"G0100090","2012-2016","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",46212,4365,245,358,404,390,453,298,243,239,614,1121,"Blount County, Alabama",2443,410,115,132,166,131,130,127,122,116,152,225
"G0100110","2012-2016","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",29335,956,0,41,104,87,104,74,23,21,261,241,"Bullock County, Alabama",5435,192,18,45,85,75,75,58,25,30,100,108
"G0100130","2012-2016","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",34315,2282,104,231,314,213,93,215,100,224,369,419,"Butler County, Alabama",2904,217,53,76,97,79,39,92,56,90,107,113
"G0100150","2012-2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",41954,13964,656,1388,1527,1444,1320,821,703,1051,3246,1808,"Calhoun County, Alabama",1381,726,211,300,315,239,233,199,194,215,423,327
"G0100170","2012-2016","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",36027,4481,162,507,431,399,385,373,255,355,843,771,"Chambers County, Alabama",1870,448,86,170,115,128,140,174,112,125,199,184
"G0100190","2012-2016","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",38925,2291,135,299,192,162,168,239,151,177,315,453,"Cherokee County, Alabama",2598,324,75,148,99,82,100,120,103,103,112,193
"G0100210","2012-2016","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",42594,3984,135,444,379,271,532,422,258,330,626,587,"Chilton County, Alabama",2580,382,88,161,149,142,197,181,152,168,222,163
"G0100230","2012-2016","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",32622,1083,67,84,44,66,84,99,85,113,188,253,"Choctaw County, Alabama",2357,158,49,48,35,52,46,70,61,62,76,81
"G0100250","2012-2016","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",32735,3132,96,237,129,163,166,312,23,125,400,1481,"Clarke County, Alabama",3261,296,59,83,79,84,90,142,19,65,139,248
"G0100270","2012-2016","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",38815,1338,32,160,208,135,145,44,35,123,75,381,"Clay County, Alabama",4217,169,32,84,93,73,73,46,38,84,56,123
"G0100290","2012-2016","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",36316,1423,38,96,241,148,89,83,134,80,164,350,"Cleburne County, Alabama",3942,215,39,55,90,78,59,51,82,45,80,118
"G0100310","2012-2016","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",47872,6458,309,429,967,842,652,422,387,430,1207,813,"Coffee County, Alabama",2517,431,109,117,213,177,180,141,120,139,239,134
"G0100330","2012-2016","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",43786,6169,313,704,559,545,525,382,416,480,1387,858,"Colbert County, Alabama",2743,543,123,219,174,145,164,148,146,163,272,214
"G0100350","2012-2016","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",27609,1093,5,18,50,125,134,47,17,162,182,353,"Conecuh County, Alabama",2836,170,6,20,37,83,72,39,18,76,92,119
"G0100370","2012-2016","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",31910,861,29,66,121,90,103,39,32,36,102,243,"Coosa County, Alabama",2226,194,35,43,80,51,66,38,37,29,69,97
"G0100390","2012-2016","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37313,3836,227,398,388,406,388,255,136,189,640,809,"Covington County, Alabama",2008,281,95,134,101,130,83,80,48,83,133,139
"G0100410","2012-2016","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",37557,1621,166,148,107,108,101,119,79,157,232,404,"Crenshaw County, Alabama",3008,159,61,57,45,45,50,64,44,60,76,93
"G0100430","2012-2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",39297,7498,202,552,863,758,776,526,497,537,1236,1551,"Cullman County, Alabama",1344,516,82,174,221,208,193,154,197,164,207,311
"G0100450","2012-2016","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",44093,7381,331,874,837,832,514,676,376,587,1460,894,"Dale County, Alabama",1857,464,106,175,178,184,118,142,107,141,246,205
"G0100470","2012-2016","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",28136,6714,219,452,565,526,448,554,323,529,1722,1376,"Dallas County, Alabama",2380,379,136,162,181,159,141,160,127,160,256,273
"G0100490","2012-2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",38248,6873,390,849,660,659,454,469,321,342,795,1934,"DeKalb County, Alabama",1595,446,129,202,195,172,146,159,124,110,168,322
"G0100510","2012-2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",53398,7675,310,549,1148,794,803,841,452,568,1208,1002,"Elmore County, Alabama",2566,544,150,152,239,228,297,233,182,149,249,219
"G0100530","2012-2016","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",32334,3895,104,360,362,312,229,394,307,422,609,796,"Escambia County, Alabama",2283,390,61,125,176,135,85,161,147,141,163,198
"G0100550","2012-2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",40478,11478,496,1111,1000,1157,1318,857,840,1098,1800,1801,"Etowah County, Alabama",1494,611,126,245,204,204,235,192,192,244,270,301
"G0100570","2012-2016","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",36205,1514,52,137,77,94,180,133,145,86,297,313,"Fayette County, Alabama",1708,213,55,89,51,55,91,57,79,41,105,111
"G0100590","2012-2016","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",36138,3644,258,271,493,397,398,191,183,370,415,668,"Franklin County, Alabama",2678,354,120,140,205,175,144,127,80,198,135,179
"G0100610","2012-2016","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",36519,2639,63,373,268,215,236,239,145,154,357,589,"Geneva County, Alabama",2333,255,33,145,85,80,96,103,72,128,109,154
"G0100630","2012-2016","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",21339,918,13,53,40,50,88,87,58,71,100,358,"Greene County, Alabama",2957,173,22,52,37,38,69,60,45,58,54,86
"G0100650","2012-2016","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",33351,1481,31,98,73,94,114,51,33,123,313,551,"Hale County, Alabama",2476,199,29,75,41,61,69,34,31,77,78,129
"G0100670","2012-2016","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",41045,1360,73,180,90,142,123,36,170,86,220,240,"Henry County, Alabama",2931,217,40,95,50,70,69,30,78,54,82,83
"G0100690","2012-2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",41945,14009,526,1322,1681,1568,1402,1076,783,1219,3024,1408,"Houston County, Alabama",849,360,76,121,155,135,154,126,104,151,232,141
"G0100710","2012-2016","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",38422,5418,231,490,705,446,443,362,260,325,656,1500,"Jackson County, Alabama",1863,442,98,136,179,142,119,131,122,149,204,241
"G0100730","2012-2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",47220,96897,2901,6805,11659,10671,9767,7239,5612,8095,24727,9421,"Jefferson County, Alabama",774,1742,451,669,822,815,863,632,593,590,1162,628
"G0100750","2012-2016","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",34298,1614,117,188,136,86,196,49,169,104,219,350,"Lamar County, Alabama",3159,245,74,100,58,43,105,31,103,67,81,108
"G0100770","2012-2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",43657,12042,752,998,1477,1164,1053,710,571,825,2474,2018,"Lauderdale County, Alabama",1484,631,241,230,350,219,219,160,136,193,362,295
"G0100790","2012-2016","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",42339,2695,234,273,223,265,272,82,71,130,299,846,"Lawrence County, Alabama",2999,321,106,113,112,105,106,50,46,81,104,198
"G0100810","2012-2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",45056,23869,684,1856,2202,2436,1962,1271,1304,2266,7355,2533,"Lee County, Alabama",1961,1019,245,446,373,406,331,219,323,438,648,405
"G0100830","2012-2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",51115,7709,321,938,853,717,626,628,375,442,1596,1213,"Limestone County, Alabama",1899,577,123,235,184,217,181,198,120,133,294,279
"G0100850","2012-2016","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",27914,1120,55,32,96,65,36,78,53,69,179,457,"Lowndes County, Alabama",2588,132,35,29,65,38,28,37,33,47,65,123
"G0100870","2012-2016","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",32390,2693,168,172,310,168,171,144,78,224,640,618,"Macon County, Alabama",2647,260,60,90,93,65,58,58,41,86,153,114
"G0100890","2012-2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",60150,44835,1929,4867,5496,5137,4599,3410,2604,3767,9346,3680,"Madison County, Alabama",1318,1224,335,584,630,571,481,442,375,424,726,493
"G0100910","2012-2016","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",30713,2466,190,95,276,123,155,139,61,198,442,787,"Marengo County, Alabama",2691,300,94,57,119,85,86,90,58,120,153,179
"G0100930","2012-2016","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",34074,2934,113,181,318,243,323,309,146,178,438,685,"Marion County, Alabama",2854,357,50,82,134,100,117,149,93,88,149,143
"G0100950","2012-2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",39831,10119,425,907,1286,1087,1050,749,686,656,1688,1585,"Marshall County, Alabama",1255,565,108,199,239,251,236,204,182,156,265,269
"G0100970","2012-2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",44263,52495,1781,4080,4418,5476,5474,4233,3407,4363,13465,5798,"Mobile County, Alabama",997,1319,320,511,505,566,526,539,469,477,911,557
"G0100990","2012-2016","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",28182,3216,56,127,250,101,116,110,81,71,424,1880,"Monroe County, Alabama",5042,324,39,86,115,71,62,68,53,54,128,292
"G0101010","2012-2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",45358,37250,1070,3041,3677,4483,4053,2440,2073,2672,10694,3047,"Montgomery County, Alabama",982,986,241,428,415,480,455,370,399,466,796,412
"G0101030","2012-2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",46883,13447,771,1645,1759,1450,1375,905,785,835,2621,1301,"Morgan County, Alabama",1879,731,229,293,328,241,324,206,233,253,376,274
"G0101050","2012-2016","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",24912,853,0,48,36,30,36,107,68,50,119,359,"Perry County, Alabama",2889,191,16,37,35,25,57,84,46,37,70,160
"G0101070","2012-2016","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",31679,2077,47,200,192,105,180,132,142,127,430,522,"Pickens County, Alabama",2533,234,41,100,71,47,71,74,72,61,124,131
"G0101090","2012-2016","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",33193,5210,167,279,554,291,580,313,308,284,1445,989,"Pike County, Alabama",2358,455,94,118,190,115,238,123,109,122,296,219
"G0101110","2012-2016","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",37496,2519,65,199,348,136,250,173,38,100,596,614,"Randolph County, Alabama",2796,328,51,81,153,68,106,89,27,68,188,135
"G0101130","2012-2016","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",38400,9230,434,647,855,1167,1351,884,599,620,1769,904,"Russell County, Alabama",2234,585,171,205,208,281,319,229,220,198,310,216
"G0101150","2012-2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",54042,6023,328,693,842,618,455,349,430,500,891,917,"St. Clair County, Alabama",2410,482,207,202,241,186,135,141,127,219,213,204
"G0101170","2012-2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",72310,15718,419,1723,2639,1968,1486,1385,773,1503,2567,1255,"Shelby County, Alabama",1426,705,155,312,388,318,275,287,177,264,325,214
"G0101190","2012-2016","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",20428,1653,65,132,119,80,94,90,30,106,494,443,"Sumter County, Alabama",2143,227,49,71,74,72,75,60,34,84,164,136
"G0101210","2012-2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",37923,8743,334,830,704,942,1136,695,577,833,1580,1112,"Talladega County, Alabama",1749,572,131,248,199,242,245,173,171,248,307,231
"G0101230","2012-2016","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",39395,4767,189,394,293,538,310,552,299,318,1068,806,"Tallapoosa County, Alabama",2619,366,90,149,114,188,125,197,115,129,262,182
"G0101250","2012-2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",48022,26047,991,2516,2336,2581,2499,1725,1432,2188,7113,2666,"Tuscaloosa County, Alabama",1149,844,262,393,380,386,306,294,311,368,644,404
"G0101270","2012-2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",37025,6422,228,634,492,490,514,462,334,404,1377,1487,"Walker County, Alabama",1276,451,98,157,159,166,178,160,137,136,207,264
"G0101290","2012-2016","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",40293,998,37,56,116,71,69,84,16,35,73,441,"Washington County, Alabama",4335,189,37,46,86,45,45,49,24,29,44,116
"G0101310","2012-2016","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",24442,1416,46,39,72,28,34,71,73,11,129,913,"Wilcox County, Alabama",3100,198,32,42,46,22,26,52,48,10,75,197
"G0101330","2012-2016","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",33896,2278,85,202,203,134,232,124,42,149,286,821,"Winston County, Alabama",2242,247,44,89,93,73,74,61,29,78,100,170
"G0200130","2012-2016","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",65926,345,23,31,39,40,15,23,2,5,34,133,"Aleutians East Borough, Alaska",2430,90,13,10,14,16,11,20,3,5,14,47
"G0200160","2012-2016","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",86964,850,79,100,85,58,34,28,22,20,44,380,"Aleutians West Census Area, Alaska",5192,137,16,28,19,20,12,15,11,8,18,63
"G0200200","2012-2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02020",,,"Anchorage Municipality, Alaska",80862,41702,1530,3654,5809,4904,5329,4238,2778,3529,8453,1478,"Anchorage Municipality, Alaska",1295,925,283,467,617,573,520,407,356,408,596,296
"G0200500","2012-2016","AK",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02050",,,"Bethel Census Area, Alaska",53296,1634,107,130,251,126,137,116,75,118,151,423,"Bethel Census Area, Alaska",2598,133,34,55,70,46,51,48,43,56,68,68
"G0200600","2012-2016","AK",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02060",,,"Bristol Bay Borough, Alaska",88000,163,8,33,29,17,7,7,0,5,12,45,"Bristol Bay Borough, Alaska",13265,27,5,16,12,7,6,7,9,4,8,16
"G0200680","2012-2016","AK",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02068",,,"Denali Borough, Alaska",81302,174,48,39,23,4,5,1,8,0,12,34,"Denali Borough, Alaska",5330,45,29,22,16,7,8,3,8,9,13,19
"G0200700","2012-2016","AK",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02070",,,"Dillingham Census Area, Alaska",56055,543,30,59,67,50,57,34,29,18,40,159,"Dillingham Census Area, Alaska",3915,48,15,19,23,21,22,13,14,11,26,31
"G0200900","2012-2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",73831,14298,560,1087,1791,1745,1474,1323,1225,1354,2883,856,"Fairbanks North Star Borough, Alaska",2012,798,208,282,384,341,284,236,257,299,399,241
"G0201000","2012-2016","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",53125,367,53,84,7,42,56,26,2,28,26,43,"Haines Borough, Alaska",12741,119,71,51,6,43,40,23,5,26,28,34
"G0201050","2012-2016","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",54091,239,11,29,36,25,15,15,3,19,42,44,"Hoonah-Angoon Census Area, Alaska",2879,36,6,14,17,12,9,7,4,14,28,14
"G0201100","2012-2016","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",87436,4322,199,290,751,837,405,490,289,321,632,108,"Juneau City and Borough, Alaska",3015,339,84,83,195,219,97,133,96,95,171,48
"G0201220","2012-2016","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",64891,6099,465,661,771,752,589,431,371,424,1021,614,"Kenai Peninsula Borough, Alaska",2835,368,129,167,139,171,128,104,96,96,157,136
"G0201300","2012-2016","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",64162,2109,48,176,286,304,229,158,163,192,421,132,"Ketchikan Gateway Borough, Alaska",3024,131,23,51,64,58,51,42,49,53,66,35
"G0201500","2012-2016","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",73068,1800,45,85,185,325,162,79,126,134,306,353,"Kodiak Island Borough, Alaska",10017,195,48,55,83,150,101,33,69,84,98,71
"G0201580","2012-2016","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158",,,"Kusilvak Census Area, Alaska",38160,450,51,37,19,22,12,15,7,11,22,254,"Kusilvak Census Area, Alaska",1766,40,17,15,11,11,9,7,5,5,9,32
"G0201640","2012-2016","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",43864,150,11,23,16,9,12,6,2,3,3,65,"Lake and Peninsula Borough, Alaska",4294,32,9,9,9,7,6,5,3,3,3,17
"G0201700","2012-2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",73908,7457,253,661,898,899,804,528,530,531,1656,697,"Matanuska-Susitna Borough, Alaska",1841,319,59,104,131,121,156,101,113,102,203,106
"G0201800","2012-2016","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",51563,1147,60,98,116,123,89,60,70,77,156,298,"Nome Census Area, Alaska",2671,70,16,24,30,30,29,24,20,21,42,39
"G0201850","2012-2016","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",72027,1008,174,186,121,75,37,36,28,28,110,213,"North Slope Borough, Alaska",10301,118,68,62,57,37,24,24,20,21,44,52
"G0201880","2012-2016","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",61341,860,74,156,100,60,67,36,26,54,46,241,"Northwest Arctic Borough, Alaska",3146,57,24,36,31,22,24,22,18,23,22,33
"G0201950","2012-2016","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Borough, Alaska",63940,397,39,30,42,34,36,16,24,26,116,34,"Petersburg Borough, Alaska",4036,66,19,13,20,14,18,8,14,11,42,15
"G0201980","2012-2016","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",51887,642,61,84,71,59,37,64,13,37,83,133,"Prince of Wales-Hyder Census Area, Alaska",2987,49,19,24,24,17,13,21,10,14,24,30
"G0202200","2012-2016","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",70160,1544,93,138,166,216,184,78,66,116,271,216,"Sitka City and Borough, Alaska",4214,123,43,48,64,65,57,37,39,50,70,95
