GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QU1E001,QZZE001,QZZE002,QZZE003,QZZE004,QZZE005,QZZE006,QZZE007,QZZE008,QZZE009,QZZE010,QZZE011,NAME_M,QU1M001,QZZM001,QZZM002,QZZM003,QZZM004,QZZM005,QZZM006,QZZM007,QZZM008,QZZM009,QZZM010,QZZM011
"G1900330","2008-2012","IA",,,"Iowa","19","Cerro Gordo County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19033",,,"Cerro Gordo County, Iowa",44762,5780,281,689,736,640,655,470,435,372,1109,393,"Cerro Gordo County, Iowa",1790,441,127,205,194,182,185,175,185,133,202,128
"G1900350","2008-2012","IA",,,"Iowa","19","Cherokee County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19035",,,"Cherokee County, Iowa",47816,1340,103,186,217,134,85,206,28,39,153,189,"Cherokee County, Iowa",2523,152,55,69,93,70,43,102,35,35,82,59
"G1900370","2008-2012","IA",,,"Iowa","19","Chickasaw County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19037",,,"Chickasaw County, Iowa",43741,972,34,116,210,112,45,78,42,94,189,52,"Chickasaw County, Iowa",2640,113,26,68,76,60,24,45,28,43,71,28
"G1900390","2008-2012","IA",,,"Iowa","19","Clarke County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19039",,,"Clarke County, Iowa",44211,968,35,190,167,49,91,89,42,46,156,103,"Clarke County, Iowa",3864,184,34,101,93,55,75,60,38,42,107,41
"G1900410","2008-2012","IA",,,"Iowa","19","Clay County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19041",,,"Clay County, Iowa",46880,1962,59,225,201,338,192,167,146,108,308,218,"Clay County, Iowa",2749,284,29,100,102,142,98,92,79,65,125,99
"G1900430","2008-2012","IA",,,"Iowa","19","Clayton County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19043",,,"Clayton County, Iowa",46617,1606,102,162,264,177,161,112,73,77,263,215,"Clayton County, Iowa",2774,165,58,56,89,59,56,43,35,33,86,59
"G1900450","2008-2012","IA",,,"Iowa","19","Clinton County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19045",,,"Clinton County, Iowa",49010,5159,236,662,597,584,497,462,274,228,1232,387,"Clinton County, Iowa",1636,368,72,162,180,173,137,138,105,87,216,120
"G1900470","2008-2012","IA",,,"Iowa","19","Crawford County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19047",,,"Crawford County, Iowa",46601,1372,127,135,210,96,83,96,91,94,205,235,"Crawford County, Iowa",2180,205,65,88,95,35,61,82,73,65,81,74
"G1900490","2008-2012","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19049",,,"Dallas County, Iowa",71878,5481,289,757,819,779,440,476,296,196,1040,389,"Dallas County, Iowa",2326,476,117,208,255,178,124,143,118,80,273,182
"G1900510","2008-2012","IA",,,"Iowa","19","Davis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19051",,,"Davis County, Iowa",46807,548,42,100,80,5,22,35,20,73,69,102,"Davis County, Iowa",3952,125,27,60,41,6,27,29,22,45,41,63
