GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G1701970","2013-2017","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17197",,,"Will County, Illinois",80782,42588,1308,3113,4620,5220,4610,3664,2452,4135,10265,3201,"Will County, Illinois",1137,1036,211,437,542,517,412,364,265,377,667,332
"G1701990","2013-2017","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17199",,,"Williamson County, Illinois",48600,7466,538,824,969,705,823,649,448,339,1488,683,"Williamson County, Illinois",1911,473,201,235,208,162,204,167,147,103,304,149
"G1702010","2013-2017","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17201",,,"Winnebago County, Illinois",51110,38768,1585,3174,5085,4624,4430,2866,2092,3313,9171,2428,"Winnebago County, Illinois",701,777,297,353,494,381,380,349,317,377,567,294
"G1702030","2013-2017","IL",,,"Illinois","17","Woodford County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17203",,,"Woodford County, Illinois",69507,2527,161,427,277,231,376,137,123,93,432,270,"Woodford County, Illinois",2304,281,68,156,73,83,146,108,63,49,119,102
"G1800010","2013-2017","IN",,,"Indiana","18","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18001",,,"Adams County, Indiana",48290,2962,72,403,298,219,291,192,139,294,573,481,"Adams County, Indiana",2581,322,44,149,113,87,115,102,73,161,152,157
"G1800030","2013-2017","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18003",,,"Allen County, Indiana",51091,45255,2066,4743,6072,5683,4658,3677,2324,3739,9340,2953,"Allen County, Indiana",655,992,334,448,583,470,468,473,298,436,623,330
"G1800050","2013-2017","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18005",,,"Bartholomew County, Indiana",57331,9127,637,1249,1366,1280,835,748,460,557,1450,545,"Bartholomew County, Indiana",2560,484,205,234,249,270,177,204,150,155,272,187
"G1800070","2013-2017","IN",,,"Indiana","18","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18007",,,"Benton County, Indiana",49183,888,32,69,108,155,74,77,47,74,172,80,"Benton County, Indiana",4226,119,19,41,60,48,28,30,31,35,66,29
"G1800090","2013-2017","IN",,,"Indiana","18","Blackford County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18009",,,"Blackford County, Indiana",40622,1226,51,86,175,94,121,98,63,56,281,201,"Blackford County, Indiana",2254,176,33,64,77,49,54,59,40,41,93,88
"G1800110","2013-2017","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18011",,,"Boone County, Indiana",75591,5861,417,456,800,914,542,433,301,636,1080,282,"Boone County, Indiana",2282,524,129,137,195,216,189,178,132,231,260,110
